"","species","clust","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass_merge.Seed_weight","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_mode_abiotic","Dispersal_mode_autonomous","Dispersal_mode_biotic","Dispersal_dist_long","Dispersal_dist_short","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"48","Bergeranthus multiceps",1,NA,1.2839539355419,NA,NA,NA,-1.13432101173881,NA,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0","1","0","0","1","1","0","0","1","0"
"49","Berteroa incana",3,-2.83216044080079,-2.13103676825259,NA,-1.09101083076309,1.07870894414484,-3.03144099662469,-8.71893482832403,"1","0","0","1","0","1","0","1","1","1","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"50","Bertholletia excelsa",5,1.43653750856609,0.81340221091385,-2.54100316219709,-0.397863650203147,1.07870894414484,-0.9111774604246,0.773972515437162,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0"
"51","Beta vulgaris",6,-1.78233831630211,-2.31335832504655,-4.73822773953331,-0.867867279448883,1.07870894414484,-2.5206153728587,-5.20222455954003,"1","0","0","1","0","1","1","1","1","1","1","1","0","1","0","0","1","1","0","1","1","1","0","0","1","0","0","1","0","0","0","1"
"52","Bixa orellana",5,-0.172900403868009,2.12929293144377,-0.895197605592118,-1.09101083076309,1.07870894414484,-0.323390795522481,-4.78351422468185,"0","1","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","0","1","0","1","1","0","0","0","0","1","1","0","0","1","0"
"53","Borago officinalis",3,-3.168632677422,-2.31335832504655,-4.04508055897337,-1.09101083076309,1.07870894414484,-0.9111774604246,-5.22676566845615,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0"
"54","Brasenia schreberi",6,-2.07002038875389,-0.645651504488469,-4.33276263142515,0.666847086789281,0,-1.13432101173881,-6.09160783849426,"1","0","0","1","1","1","0","1","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","1"
"55","Bretschneidera sinensis",5,0.520246776691936,-1.84335469580081,-4.04508055897337,-0.685545722654928,1.07870894414484,-0.574705223803388,NA,"0","1","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","1","1","0"
"56","Bruguiera gymnorhiza",5,1.07986256462736,-0.83175378412233,-3.53425493520738,-0.685545722654928,1.07870894414484,-0.648813195957109,2.01033804141935,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","1"
"57","Buddleja davidii",5,-0.866047584427954,-2.53650187636076,NA,NA,NA,-2.25825110839121,-10.3081700334406,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
