"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_bisexual","SexualSystem_dioecious","SexualSystem_monoecious","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Berteroa_incana",-0.574043271343317,-0.191851995287345,-0.113027013922185,-0.570138569082411,0.410413406723782,-1.26208230136362,-0.713221134664891,"1","0","0","1","0","1","1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Bertholletia_excelsa",1.89367141292891,2.62544424043205,0.528893481370741,0.470324178418419,0.410413406723782,0.568495834186485,2.06124508994945,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1","0"
"Beta_vulgaris",0.0328540784407074,-0.366300791570949,-0.784439733353737,-0.235184378978198,0.410413406723782,-0.821049287316386,0.314598216053621,"1","0","0","1","0","1","1","0","0","1","1","0","1","0","1","0","0","1","1","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1"
"Bixa_orellana",0.96326274568481,3.88451396468103,1.51263047610611,-0.570138569082411,0.410413406723782,1.0759749275949,0.436973547434525,"0","1","0","1","0","1","1","0","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0"
"Borago_officinalis",-0.768556326379979,-0.366300791570949,-0.370129232592074,-0.570138569082411,0.410413406723782,0.568495834186485,0.30742565286126,"1","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Brasenia_schreberi",-0.133453606715704,1.22939339027008,-0.54208362675316,2.06852999930897,-2.55818949566563,0.375839733116676,0.054660582740791,"1","0","0","1","1","1","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1"
"Bretschneidera_sinensis",1.36396794809515,0.0834077827338659,-0.370129232592074,0.0384931216028799,0.410413406723782,0.858996854018345,0.573864310709074,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0"
"Bruguiera_gymnorhiza",1.68747926555523,1.05132712515777,-0.0647966482289581,0.0384931216028799,0.410413406723782,0.795014037175827,2.42259428139284,"0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1"
"Buddleja_davidii",0.562557543274467,-0.579808862748757,0.559614760550113,-0.225049943256812,0.37479017189511,-0.594531084327043,-1.17770258801667,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Bursera_simaruba",1.19766026293874,0.296915853911674,-0.370129232592074,0.0384931216028799,0.184799586142187,-0.663637791147085,0.88796832748689,"0","1","0","1","0","1","0","1","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","0","1"
"Butomus_umbellatus",-0.496849386393052,0.196104872174067,1.55386915085864,1.07895586910371,-0.640472020722069,0.477530417378364,-1.00591177725716,"1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1","1","1","1","1","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Buxus_balearica",0.667956798104982,-0.579808862748757,-0.370129232592074,0.0384931216028799,-0.120966512803923,-0.663637791147085,0.0822029542342432,"0","1","0","1","0","1","0","0","1","1","0","0","1","0","1","0","1","0","1","1","0","1","0","0","1","1","1","0","0","1","0","0","0","1"
"Byrsonima_crassifolia",1.09226100810823,0.296915853911674,-0.784439733353737,0.0384931216028799,0.410413406723782,-0.0651932809305539,-0.189548465166726,"0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","1","0"
"Cabomba_caroliniana",0.96326274568481,-0.191851995287345,-0.127773125991498,0.0384931216028799,-2.55818949566563,0.568495834186485,-0.466437027970268,"1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Calceolaria_purpurea",-0.663157071549464,-1.24302550823138,0.903358703976275,-0.262034522024529,0.0244950294131587,-0.0162440561055187,-1.85067287398612,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0"
"Camellia_sinensis",0.562557543274467,2.50007386153735,0.0441812681695879,0.0384931216028799,0.410413406723782,0.650784063110062,1.61359985503373,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Canacomyrica_monticola",0.75707059831113,-0.191851995287345,-0.784439733353737,-1.61060131658324,0.092772896168115,-0.800878656515325,0.673656130578349,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1"
"Canna_indica",0.161852340864124,-2.56945879919663,0.655236127099614,0.0384931216028799,0.410413406723782,1.32435184057232,0.96957854977374,"1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","1","0","1","0"
"Cannabis_sativa",-0.133453606715704,-0.366300791570949,-1.1987502341154,-0.570138569082411,0.410413406723782,-0.821049287316386,0.344060131446707,"1","0","0","1","0","1","0","1","1","0","1","0","1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","0","0","1","0","0","1","1"
"Capparis_zeylanica",0.356365395900786,1.56159743803352,0.787189263249513,0.470324178418419,0.115532185086434,1.67441943781143,0.602788855242449,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Cardiocrinum_cordatum",-0.194362037041601,-0.191851995287345,2.64924653278602,0.0384931216028799,0.048243852632274,2.11545245185866,-0.134444969943238,"1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","1"
"Carex_laxiflora",-0.829464756705876,-1.24302550823138,-0.784439733353737,0.0384931216028799,-0.212993202777994,-1.19964260008316,-0.504901393956498,"1","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1"
"Carica_papaya",0.667956798104982,0.296915853911674,-0.00277647491721811,0.805278368522632,0.410413406723782,0.974284243333207,0.406800970714951,"0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","1","1","0","0","1","1","0","0","0","1","1","1","0","1","1","0","0","1","0"
"Caryocar_brasiliense",0.96326274568481,3.55124737448139,0.880785524391438,0.269884151329963,0.0264740980147516,1.32435184057232,0.608248439666462,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","0","0","1","0"
"Catalpa_speciosa",1.59836546534908,-1.24302550823138,0.567518238860727,-0.570138569082411,0.410413406723782,1.24922857332659,0.353204082382634,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Catharanthus_roseus",-0.4450450089199,-0.366300791570949,0.548972664499651,-0.570138569082411,0.101678704875283,1.07405418614167,-0.400195764493,"0","1","0","1","0","1","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
