"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Acacia cheelii"	0.162430218088537	NA	2.33806948695189	0.487184296964755	0.482304205603162	NA
"Acacia chisholmii"	NA	NA	NA	NA	0.480492658256369	0.995552604092697
"Acacia choriophylla"	NA	NA	NA	NA	2.44453711264362	NA
"Acacia chrysotricha"	NA	NA	NA	NA	0.500657368845239	NA
"Acacia chundra"	NA	NA	NA	NA	1.53950315257415	1.40667669999905
"Acacia cincinnata"	0.38341288388103	NA	NA	1.35874661948121	0.337804910789025	NA
"Acacia citrinoviridis"	NA	NA	NA	NA	0.888184591757985	1.12334705440936
"Acacia clandullensis"	NA	NA	NA	NA	0.835521132463503	NA
"Acacia clydonophora"	NA	NA	NA	NA	0.657460035126572	NA
"Acacia cochliacantha"	NA	NA	NA	NA	0.792616292407978	NA
"Acacia cognata"	NA	NA	NA	NA	0.163648957682026	NA
"Acacia colei"	NA	NA	NA	NA	0.348993778598133	0.716387679069716
"Acacia colletioides"	-1.84691088595474	-0.048601114787678	2.5626707997555	0.000710814845996416	0.149755155065694	NA
"Acacia collinsii"	NA	1.43243354940388	NA	NA	0.892799979565108	1.02180971376028
"Acacia compacta"	NA	NA	NA	NA	0.874643673322172	NA
"Acacia complanata"	NA	NA	NA	NA	1.01415149744247	NA
"Acacia concurrens"	NA	NA	NA	NA	0.285052185488698	0.899415691751931
"Acacia conferta"	NA	NA	NA	NA	0.351179129570398	NA
"Acacia confusa"	NA	0.979011224481961	0.865096775410014	NA	0.802254946615214	0.845557533114781
"Acacia congesta"	NA	NA	NA	NA	0.390587910015481	NA
"Acacia constablei"	NA	NA	NA	NA	0.438924597884703	NA
"Acacia constricta"	NA	1.05848751054984	1.00378348897134	0.38382862061926	0.177940880148677	NA
"Acacia continua"	NA	NA	NA	NA	0.0730554996011358	NA
"Acacia coolgardiensis"	NA	NA	NA	NA	-0.315772942279442	NA
"Acacia coriacea"	NA	-0.254601856852658	NA	0.294033358913022	1.20000791836702	1.31753213201583
"Acacia cornigera"	NA	NA	NA	0.862545758172596	1.25197296558628	NA
"Acacia costiniana"	NA	NA	NA	NA	0.36341489668349	NA
"Acacia coulteri"	NA	NA	NA	NA	1.36277536239222	NA
"Acacia cowleana"	NA	NA	NA	0.79023422022164	0.279214113866293	NA
"Acacia craspedocarpa"	NA	NA	NA	NA	1.31134919397415	1.20256062095452
"Acacia crassa"	NA	NA	NA	NA	0.212884460902962	NA
"Acacia crassicarpa"	0.38341288388103	NA	NA	0.706756675987241	0.699675867222901	0.41520965519654
"Acacia crassiuscula"	NA	NA	NA	NA	-0.0543520082920572	NA
"Acacia creatacea"	NA	NA	NA	NA	0.825138978012348	NA
"Acacia cremiflora"	NA	NA	NA	NA	0.696195289619505	NA
"Acacia crenulata"	NA	NA	NA	NA	-0.0382655387519829	NA
"Acacia cultriformis"	-1.28397446619742	NA	2.67021569845502	-0.0439662464284405	0.376552145894157	NA
"Acacia cuneifolia"	NA	NA	NA	NA	0.565821633656302	NA
"Acacia cupularis"	NA	NA	NA	NA	0.489784046313788	NA
"Acacia curranii"	NA	NA	NA	NA	-0.110666244246352	NA
"Acacia cuthbertsonii"	NA	NA	NA	0.706756675987241	1.01388490773249	NA
"Acacia cyclops"	NA	NA	NA	0.462391769180909	0.708313893479557	NA
"Acacia cyperophylla"	NA	NA	NA	1.16559568142948	0.341667581294571	NA
"Acacia dallachiana"	NA	NA	NA	NA	0.463581003757323	NA
"Acacia davyi"	0.561773365091176	0.427441122307968	1.98874286193838	0.3313952147794	0.960070910244664	NA
"Acacia dawsonii"	NA	NA	NA	NA	-0.0947846692247956	NA
"Acacia dealbata"	NA	0.445198726241778	0.691273887073112	0.608023697065532	0.348524272518332	0.411942730829548
"Acacia deanei"	-2.40422549685709	NA	1.51792603731226	0.706756675987241	0.5187962068732	NA
