"","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"Calceolaria_purpurea",-0.663157071549464,-1.24302550823138,0.513478913535521,-0.273255543685993,-0.106123498291975,-0.0162440561055187,-1.85067287398612,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","other","zygomorphic","bright"
"Camellia_sinensis",0.562557543274467,2.50007386153735,0.0441812681695879,0.0384931216028799,0.410413406723782,0.650784063110062,1.61359985503373,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Canacomyrica_monticola",0.75707059831113,-0.191851995287345,-0.784439733353737,-1.61060131658324,-0.165495556339764,-0.849430165114538,0.604033195462536,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","abiotic","biotic","long","inferior","none","actinomorphic","dull"
"Canna_indica",0.161852340864124,-2.56945879919663,0.761600250183932,0.0384931216028799,0.410413406723782,1.32435184057232,0.96957854977374,"herbaceous","non-climbing","non-aquatic","bisexual","long","selfing","biotic","autonomous","short","inferior","nectar","other","bright"
"Cannabis_sativa",-0.133453606715704,-0.366300791570949,-1.1987502341154,-0.570138569082411,0.410413406723782,-0.821049287316386,0.344060131446707,"herbaceous","non-climbing","non-aquatic","dioecious_monoecious","short","outcrossing","abiotic","autonomous_biotic","long_short","superior","none","actinomorphic","bright_dull"
"Capparis_zeylanica",0.356365395900786,1.56159743803352,1.15067981962908,0.470324178418419,0.0927728961681151,1.67441943781143,0.382616056488165,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","intermediate","nectar","actinomorphic","bright"
"Cardiocrinum_cordatum",-0.194362037041601,-0.191851995287345,2.64924653278602,0.0384931216028799,0.164019365825461,2.11545245185866,-0.134444969943238,"herbaceous","non-climbing","non-aquatic","bisexual","long","mixed","biotic","abiotic","long","superior","nectar","zygomorphic","bright_dull"
"Carex_laxiflora",-0.829464756705876,-1.24302550823138,-0.784439733353737,0.0384931216028799,0.00965201490121158,-1.19964260008316,0.0232206456308498,"herbaceous","non-climbing","non-aquatic","monoecious","long","selfing","abiotic","biotic","long","superior","none","actinomorphic","dull"
"Carica_papaya",0.667956798104982,0.296915853911674,0.314774977056278,0.805278368522632,0.410413406723782,0.974284243333207,0.406800970714951,"woody","non-climbing","non-aquatic","dioecious","long","mixed","autonomous_biotic","biotic","long","superior","nectar_none_pollen","actinomorphic","bright"
"Caryocar_brasiliense",0.96326274568481,3.55124737448139,1.06643073789057,0.269884151329963,0.128396130996788,1.32435184057232,0.464716684959154,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","intermediate","nectar","actinomorphic","bright"
"Catalpa_speciosa",1.59836546534908,-1.24302550823138,0.73686241381291,-0.570138569082411,0.410413406723782,1.24922857332659,0.353204082382634,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","nectar","zygomorphic","bright"
"Catharanthus_roseus",-0.4450450089199,-0.366300791570949,1.05435248557636,-0.570138569082411,-0.115029306999144,1.07405418614167,-0.400195764493,"woody","non-climbing","non-aquatic","monoecious","long","mixed","biotic","autonomous_biotic","short","superior","nectar","actinomorphic","bright"
"Caulophyllum_thalictroides",-0.713457949063626,-0.191851995287345,-0.299727520152584,-1.61060131658324,-0.195181585363658,-0.313570193907975,1.04178359284857,"herbaceous","non-climbing","non-aquatic","bisexual","long","mixed","biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Centroplacus_glaucinus",1.36396794809515,-0.366300791570949,-0.370129232592074,0.0384931216028799,0.410413406723782,-1.61214989860273,0.75833435218481,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Ceratophyllum_demersum",0.267251595694639,-1.906242153714,-0.784439733353737,-1.61060131658324,-0.78890216584154,-2.01793830774945,0.167031564797854,"herbaceous","non-climbing","aquatic","monoecious","long","mixed","abiotic","biotic","long","superior","none_pollen","actinomorphic","dull"
"Cercidiphyllum_japonicum",1.59836546534908,0.296915853911674,1.02093981977457,-1.61060131658324,-2.55818949566563,-0.313570193907975,-0.67946049714662,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","abiotic","abiotic","long","superior","none","actinomorphic","dull"
"Chimaphila_umbellata",-1.11416315147397,0.296915853911674,1.04565462616069,0.805278368522632,0.410413406723782,0.0678962427320051,-2.3210589176882,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","autonomous","short","superior","nectar_pollen","actinomorphic","bright"
"Chimonanthus_praecox",0.834264483261393,-0.0443576396278283,-0.370129232592074,1.687587559789,-2.55818949566563,0.650784063110062,0.86799958990149,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","autonomous","short","superior","nectar_pollen","actinomorphic","bright"
"Chloranthus_spicatus",-0.663157071549464,-1.09553115257186,-0.784439733353737,-1.61060131658324,-1.06498223576376,-0.821049287316386,-0.276961138757916,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","other","actinomorphic","dull"
"Chorispora_tenella",-1.05430676039816,-0.191851995287345,0.857669215706189,-0.570138569082411,0.410413406723782,1.58876710193746,-0.451445676251136,"herbaceous","non-climbing","non-aquatic","bisexual","short","selfing","biotic","abiotic","long","superior","pollen","actinomorphic","bright"
"Cinnamomum_camphora",1.43205778019267,0.196104872174067,-0.784439733353737,-1.61060131658324,-0.450481434969146,-1.26208230136362,0.864350226447799,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","other","actinomorphic","bright_dull"
"Cirsium_pitcheri",-0.713457949063626,-0.366300791570949,-1.1987502341154,-0.570138569082411,-0.138778130218259,0.568495834186485,-0.283325544657237,"herbaceous","non-climbing","non-aquatic","bisexual","long_short","mixed","biotic","abiotic","long","inferior","nectar","zygomorphic","bright"
"Clarkia_xantiana",-0.829464756705876,0.0834077827338659,2.93017884334565,0.470324178418419,0.410413406723782,0.858996854018345,-0.960858577094712,"herbaceous","non-climbing","non-aquatic","bisexual","short","mixed","biotic","autonomous","short","inferior","pollen","zygomorphic","bright"
"Claytonia_virginica",-1.23016995911622,-0.366300791570949,-0.370129232592074,0.0384931216028799,0.410413406723782,-0.362919220975458,-0.446614702101765,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","autonomous_biotic","short","superior","nectar","actinomorphic","bright"
"Cleistesiopsis_bifaria",-1.03565690407956,-1.24302550823138,1.14902441625225,0.0384931216028799,0.395570392211836,1.51700794164213,-0.928029783562063,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","inferior","pollen","zygomorphic","bright_dull"
