"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam","groups_pam_one_hot","groups_kpro","groups_kpro_one_hot"
"Tetratheca aphylla","Elaeocarpaceae","Oxalidales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous_biotic","short","bisexual","superior","pollen",NA,"bright",1.9,10,1,3,NA,0.9,NA,4,2,1,1
"Tetroncium magellanicum","Juncaginaceae","Alismatales","herbaceous","non-climbing","aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","other","bright",0.2,4,1,4,0.3,0.9,NA,NA,NA,NA,8
"Thalictrum minus","Ranunculaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic_biotic","autonomous","short","bisexual","superior","none_pollen","actinomorphic","bright_dull",0.825,12.5,1,7.75,0,0.7,2.08,2,1,8,NA
"Theobroma cacao","Malvaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",18,5,NA,5,1,1,1892.8,6,2,1,1
"Thymelaea hirsuta","Thymelaeaceae","Malvales","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none","actinomorphic","dull",1.6,8,1,1,NA,2.88666666666667,3.07,1,3,2,6
"Titanotrichum oldhamii","Gesneriaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.35,4,NA,NA,NA,3.5,NA,5,4,3,17
"Trachelium caeruleum","Campanulaceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","inferior","nectar_pollen","actinomorphic","bright",1,5,NA,NA,NA,0.5,0.01,2,1,3,4
"Tragopogon dubius","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic_biotic","long","bisexual","inferior",NA,"zygomorphic","bright",0.7,5,1,2,1,NA,9.17,5,4,4,3
"Tribulus terrestris","Zygophyllaceae","Zygophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.35,10,20,5,1,0.9,16.53,3,NA,5,9
"Trichilia emetica","Meliaceae","Sapindales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic",NA,30,10,2,3,1,1.6,701.96,1,3,NA,2
"Trillium erectum","Melanthiaceae","Liliales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior",NA,"actinomorphic","bright_dull",0.3,6,NA,3,NA,6.5,NA,3,1,3,NA
"Trithuria submersa","Hydatellaceae","Nymphaeales","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","autonomous","short","unisexual","superior","none","actinomorphic","bright",0.075,1,1,1,NA,1,NA,NA,NA,NA,4
"Trochocarpa laurina","Ericaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"actinomorphic","bright",13,10,1,10,1,0.25,24.63,4,2,1,1
"Tropaeolum majus","Tropaeolaceae","Brassicales","herbaceous","climbing_non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic","abiotic","long","bisexual","superior","nectar_pollen","zygomorphic","bright",2,8,NA,NA,NA,4.45,146.7,5,4,NA,9
"Tropaeolum tricolor","Tropaeolaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",2,8,1,3,1,3,23.5,5,4,NA,5
"Turnera ulmifolia","Passifloraceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior",NA,"actinomorphic","bright",0.875,5,504.5,3,1,5,1.12,3,2,NA,1
"Typha latifolia","Typhaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","unisexual","superior","none",NA,"dull",2.25,2,1,1,NA,0.55,0.13,NA,NA,NA,7
"Urtica dioica","Urticaceae","Rosales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","actinomorphic_other","dull",1.75,4,1,1,NA,0.14,0.16,NA,NA,NA,6
"Vaccinium uliginosum","Ericaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",0.6,9,NA,3.5,1,0.6,0.28,4,2,NA,1
"Valeriana officinalis","Caprifoliaceae","Dipsacales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior","nectar_pollen","other","bright",0.75,3,1,3,NA,0.5,1.24,2,1,NA,3
"Vellozia squamata","Velloziaceae","Pandanales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",NA,6,NA,NA,NA,15,NA,6,5,6,1
"Verbascum thapsus","Scrophulariaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","biotic","long","bisexual","superior","nectar_pollen","zygomorphic","bright",2,5,NA,2,1,1.5,0.1,5,4,5,NA
