"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam","groups_pam_one_hot","groups_kpro","groups_kpro_one_hot"
"Datisca glomerata","Datiscaceae","Cucurbitales","herbaceous","non-climbing","non-aquatic","dimorphic","long","mixed","abiotic","abiotic","long","bisexual_unisexual","inferior","none",NA,"dull",1.5,7.75,NA,NA,NA,0.65,0.07,NA,NA,NA,NA
"Davidsonia jerseyana","Cunoniaceae","Oxalidales","woody","non-climbing","non-aquatic","monomorphic","long","selfing",NA,"biotic","long","bisexual","superior","nectar","actinomorphic","bright",10,9,6,2,NA,0.5,206.29,6,5,1,1
"Davilla kunthii","Dilleniaceae","Dilleniales","herbaceous","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior_superior","pollen","actinomorphic","bright",NA,70,2,1,NA,1.8,NA,2,1,1,NA
"Denhamia celastroides","Celastraceae","Celastrales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,NA,NA,"bisexual","superior",NA,"actinomorphic",NA,7,5,4,3,1,2.5,NA,6,2,1,1
"Diapensia lapponica","Diapensiaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.02,5,80,3,1,1.1,NA,3,1,3,4
"Diospyros australis","Ebenaceae","Ericales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,"actinomorphic","bright",20,14,2,4,NA,0.16,130.16,1,3,2,2
"Dipterocarpus tempehes","Dipterocarpaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",45,30,NA,NA,NA,5.4,NA,6,5,6,12
"Discaria americana","Rhamnaceae","Rosales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","intermediate","nectar_other_pollen","actinomorphic","bright",1,4.5,1,3.5,NA,0.6,NA,4,2,NA,NA
"Drosophyllum lusitanicum","Drosophyllaceae","Caryophyllales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",0.9,10,21.1,5,1,2.7,3.72,3,1,NA,4
"Dryas octopetala","Rosaceae","Rosales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.5,164,1,NA,0,3,0.71,2,NA,8,13
"Durio zibethinus","Malvaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",25,60,6,5,1,5.5,18094.33,6,5,6,1
"Eriocaulon parkeri","Eriocaulaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic",NA,NA,"unisexual","superior",NA,NA,"bright",0.15,4,NA,2,NA,0.2,NA,5,NA,4,NA
"Eriogonum arborescens","Polygonaceae","Caryophyllales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual",NA,NA,NA,"bright",2,9,1,3,NA,0.275,0.63,NA,2,NA,NA
"Eryngium alpinum","Apiaceae","Apiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.45,5,NA,2,NA,0.2,5.02,2,1,NA,3
"Erythroxylum laurifolium","Erythroxylaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,"biotic","long","bisexual","superior","nectar_other",NA,"bright",4.5,10,NA,NA,NA,NA,NA,4,2,1,1
"Eschscholzia californica","Papaveraceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","other","bright",0.325,19.5,NA,2,1,4,1.5,NA,4,3,5
"Eucalyptus cladocalyx","Myrtaceae","Myrtales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","inferior",NA,NA,"bright",35,192,17,3.5,NA,1.5,4.78,4,5,NA,12
"Eupomatia bennettii","Eupomatiaceae","Magnoliales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior",NA,NA,"bright",1.5,8.5,NA,NA,1,3.5,NA,6,2,1,1
"Eupomatia laurina","Eupomatiaceae","Magnoliales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"bright",7,60,3,41,1,2.66666666666667,15.73,4,2,NA,12
"Fagus grandifolia","Fagaceae","Fagales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none_pollen","actinomorphic","dull",25,11,2,3,NA,NA,265.74,1,3,2,6
"Filipendula vulgaris","Rosaceae","Rosales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic_biotic","biotic","long","bisexual","superior","none_pollen","actinomorphic","bright",0.76,25,2,9,0,1.2,0.99,2,1,8,NA
"Floerkea proserpinacoides","Limnanthaceae","Brassicales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous","autonomous","short","bisexual","superior",NA,"actinomorphic","bright_dull",0.175,6,1,2.5,NA,2.75,3.64,3,NA,3,4
"Fumana ericoides","Cistaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","autonomous","short","bisexual","inferior",NA,"actinomorphic","bright",0.3,29,10.25,2,NA,1.75,2.44,2,1,3,4
"Galium aparine","Rubiaceae","Gentianales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.935,4,1,2,1,1.75,9.05,2,1,NA,NA
"Gelsemium sempervirens","Gelsemiaceae","Gentianales","herbaceous","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","actinomorphic","bright",4.75,5,4,2,1,2.75,NA,3,1,NA,3
"Gentiana saponaria","Gentianaceae","Gentianales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.48,5,NA,2,1,3.75,NA,3,1,4,3
"Geranium sanguineum","Geraniaceae","Geraniales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.3,10,2,5,1,3.1,8.87,2,1,3,4
"Gerbera jamesonii","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"zygomorphic","bright",0.375,5,1,2,NA,4.1,2.06,5,4,NA,3
"Gesneria cuneifolia","Gesneriaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual",NA,"nectar","zygomorphic","bright",0.15,NA,NA,2,NA,2.5,0.02,NA,NA,3,5
"Gomortega keule","Gomortegaceae","Laurales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright_dull",20,8,1,2,1,0.6,NA,4,5,1,14
"Gonocaryum litorale","Cardiopteridaceae","Cardiopteridales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",17.5,5,2,2,1,0.55,NA,1,3,2,2
"Gossypium hirsutum","Malvaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long_short","mixed","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",1.5,80,10,3.5,1,7,93.47,3,NA,NA,1
"Grewia occidentalis","Malvaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic",NA,"outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",3,76.5,1,4,1,3,64.31,6,5,6,1
"Griselinia racemosa","Griseliniaceae","Apiales","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"biotic","long","unisexual","inferior",NA,"actinomorphic",NA,2,5,NA,3,1,NA,12.21,1,3,2,2
"Gyrocarpus americanus","Hernandiaceae","Laurales","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","bisexual_unisexual","inferior","none","actinomorphic","bright_dull",25,4,1,1,NA,0.15,360.51,1,3,2,7
"Hamamelis virginiana","Hamamelidaceae","Saxifragales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","intermediate","nectar_pollen","actinomorphic","bright",5,4,1,2,1,2,108.32,4,2,1,NA
"Hanguana malayana","Hanguanaceae","Commelinales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic",NA,3,6,1,3,1,NA,17,1,3,2,2
"Haumania danckelmaniana","Marantaceae","Zingiberales","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior",NA,"zygomorphic","bright",6,1,NA,3,NA,1.25,NA,6,2,1,1
"Hedychium gardnerianum","Zingiberaceae","Zingiberales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","inferior",NA,"zygomorphic","bright",2.4,1,NA,3,NA,8,NA,5,4,NA,NA
"Helianthus annuus","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","inferior","nectar_pollen","actinomorphic_zygomorphic","bright",2,5,1,2,1,2.2,38.81,2,1,NA,5
"Heliconia irrasa","Heliconiaceae","Zingiberales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior","nectar",NA,"bright",1.5,5,1,3,NA,5.75,NA,2,1,NA,NA
"Herniaria glabra","Caryophyllaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic","dull",0.2,5,NA,NA,NA,0.15,0.11,3,NA,4,10
"Hevea brasiliensis","Euphorbiaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","unisexual","intermediate",NA,"actinomorphic",NA,20,10,1,3,1,0.5025,3809.45,1,3,1,18
"Hirtella physophora","Chrysobalanaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar_pollen","zygomorphic","bright",NA,6,NA,NA,NA,2,NA,4,2,NA,1
"Hordeum bulbosum","Poaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","bisexual","superior","none","zygomorphic","dull",0.95,3,1,2,NA,1.75,11.36,NA,NA,NA,NA
"Hydnocarpus heterophyllus","Achariaceae","Malpighiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,NA,NA,20,26,NA,4,1,1.6,NA,1,3,NA,2
"Hydrastis canadensis","Ranunculaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.325,53.75,2,10.75,0,1.3,NA,2,1,8,13
"Hydrocotyle vulgaris","Araliaceae","Apiales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"autonomous_biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.125,5,NA,2,1,0.15,0.5,2,1,4,3
"Hydrophyllum capitatum","Hydrophyllaceae","Boraginales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior","nectar_pollen","actinomorphic","bright",0.275,5,NA,NA,NA,0.7,6.55,3,1,NA,16
"Hypericum perforatum","Hypericaceae","Malpighiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","abiotic","long","bisexual","superior","pollen","actinomorphic","bright",0.6,50,30,3,1,1.875,0.15,3,1,5,3
"Ilex opaca","Aquifoliaceae","Aquifoliales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",12.5,4,NA,4,1,0.75,17.2,1,3,2,2
"Impatiens capensis","Balsaminaceae","Ericales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",1.05,5,1,5,1,3.3,7.03,5,4,3,5
"Ipomoea alba","Convolvulaceae","Solanales","herbaceous","climbing","non-aquatic","monomorphic","long_short","selfing","biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",10,5,5,2,NA,9,99.98,3,NA,NA,10
"Iris versicolor","Iridaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.675,3,40.5,3,NA,12.25,15.02,2,1,7,3
"Irvingbaileya australis","Stemonuraceae","Cardiopteridales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",NA,5,1,2,1,0.41,220,1,3,2,2
"Juglans mandshurica","Juglandaceae","Fagales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none",NA,"dull",15,26,1,2,NA,NA,9259,1,3,2,6
"Jumellea fragrans","Orchidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual","inferior","nectar","zygomorphic","bright",0.3,2,NA,3,NA,4,NA,5,4,3,11
"Juncus effusus","Juncaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","abiotic","biotic","long","bisexual","superior","none","actinomorphic","dull",0.8825,3,NA,3,NA,NA,0.02,NA,NA,NA,NA
"Kalanchoe daigremontiana","Crassulaceae","Saxifragales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","abiotic","long","bisexual","intermediate_superior","nectar","actinomorphic","bright",1.5,8,130,4,0.2,3,0.02,2,1,5,3
"Kalmia latifolia","Ericaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",5,10,NA,NA,1,2.8,0.02,4,2,NA,NA
"Kielmeyera regalis","Calophyllaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual",NA,"pollen","actinomorphic","bright",NA,NA,NA,NA,NA,9,NA,4,2,NA,NA
"Kirengeshoma palmata","Hydrangeaceae","Cornales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual",NA,NA,NA,"bright",1.05,15,NA,NA,NA,3.81,1.74,NA,4,NA,3
"Kirkia wilmsii","Kirkiaceae","Sapindales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic",NA,12,4.5,NA,4.5,1,1,13.99,1,3,2,2
"Lactoris fernandeziana","Lactoridaceae","Piperales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","none","actinomorphic","dull",1.5,6,6,3,0,0.4,NA,NA,NA,NA,7
"Lantana camara","Verbenaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","superior",NA,"zygomorphic","bright",1.05,4,NA,1.5,NA,0.65,11.14,NA,NA,1,1
"Lapageria rosea","Smilacaceae","Liliales","woody","climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior_superior","nectar","actinomorphic","bright",8,6,132,3,1,7.5,NA,6,5,6,1
"Larrea tridentata","Zygophyllaceae","Zygophyllales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual",NA,"nectar_pollen","actinomorphic","bright",1.6,10,NA,5,NA,2.5,6.44,3,NA,1,1
"Lemna minor","Araceae","Alismatales","herbaceous","non-climbing","aquatic","monomorphic","short",NA,"biotic","abiotic","long","bisexual","superior",NA,NA,"dull",0.06,2,1,1,NA,0.08,NA,5,NA,4,NA
"Lepidobotrys staudtii","Lepidobotryaceae","Celastrales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"autonomous","short","unisexual","superior",NA,"actinomorphic",NA,8,10,2,3,NA,0.63,NA,1,3,2,2
"Limnanthes douglasii","Limnanthaceae","Brassicales","herbaceous","non-climbing","non-aquatic","dimorphic","short","outcrossing","biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.515,10,NA,5,NA,2.8,7.12,3,NA,NA,16
"Linum perenne","Linaceae","Malpighiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.6,5,2,5,1,3.5,1.4,2,1,NA,16
"Liparis loeselii","Orchidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic_autonomous","abiotic","long","bisexual","inferior","none","zygomorphic","dull",0.13,1,NA,3,NA,1.05,0.001,NA,NA,5,NA
"Liriodendron chinense","Magnoliaceae","Magnoliales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic","dull",40,60,2,115,0,3.5,NA,4,2,NA,NA
"Loasa heterophylla","Loasaceae","Cornales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",NA,6.5,NA,NA,NA,2.3,NA,2,1,NA,15
"Lobelia angulata","Campanulaceae","Asterales","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic",NA,NA,"bisexual_unisexual","inferior","nectar","zygomorphic","bright",0.21,5,NA,2,NA,1.35,0.08,5,4,NA,17
"Ludwigia adscendens","Onagraceae","Myrtales","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.15,10,7.5,5,NA,3,NA,2,1,NA,3
"Lythrum salicaria","Lythraceae","Myrtales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",1.6,12,NA,2,1,1.8,0.07,3,1,5,3
"Malesherbia linearifolia","Passifloraceae","Malpighiales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",1,5,21.5,3,1,2.5,1.29,3,1,3,NA
"Malpighia emarginata","Malpighiaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",7,10,1,3,1,2.25,23.15,4,2,1,1
"Manihot esculenta","Euphorbiaceae","Malpighiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","unisexual","superior",NA,"actinomorphic","bright",5,10,1,3,1,0.2,114,3,1,1,NA
"Manilkara zapota","Sapotaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",40,5.5,1,8.75,1,1.8,126.74,6,2,1,1
"Mappia nimmoniana","Icacinaceae","Icacinales","woody","non-climbing","non-aquatic","dimorphic","long","mixed","biotic","biotic","long","bisexual_unisexual",NA,"nectar_pollen",NA,"bright",15,3,2,1,NA,0.8,NA,1,3,NA,18
"Marathrum rubrum","Podostemaceae","Malpighiales","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","abiotic","long","bisexual","superior","none","actinomorphic","bright_dull",0.15,8,940,2,1,0.5,NA,NA,NA,5,NA
"Mayaca fluviatilis","Mayacaceae","Poales","herbaceous","non-climbing","aquatic_non-aquatic","monomorphic","long","selfing","autonomous","abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.6,3,2,3,1,1,NA,3,1,4,3
"Mazus pumilus","Mazaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior","pollen","zygomorphic","bright",0.1,4,183,2,1,0.7,0.01,5,4,5,3
"Medicago sativa","Fabaceae","Fabales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","zygomorphic","bright",0.65,10,15,NA,NA,1.75,2.24,5,4,3,5
"Melocactus curvispinus","Cactaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",0.125,154.5,21.5,16,NA,2.4,0.36,2,1,NA,9
"Menispermum canadense","Menispermaceae","Ranunculales","herbaceous_woody","climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic",NA,5,16.5,2,3,NA,0.225,68.67,1,3,2,2
"Menyanthes trifoliata","Menyanthaceae","Asterales","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.35,5,10,2,1,1.5,2.45,3,1,4,3
"Miconia affinis","Melastomataceae","Myrtales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","intermediate",NA,"actinomorphic","bright",5,10,NA,NA,NA,0.5,0.3,6,2,1,1
"Mirabilis jalapa","Nyctaginaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright_dull",1,5,1,1,NA,4,79.23,3,1,NA,4
"Misodendrum linearifolium","Misodendraceae","Santalales","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"abiotic","long","unisexual","inferior",NA,"actinomorphic","dull",0.25,3,1,3,1,0.125,NA,1,3,NA,6
"Mollugo verticillata","Molluginaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.24,3.5,10,4,1,0.2,0.09,3,1,NA,4
"Monotropa hypopitys","Ericaceae","Ericales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.185,9,20,5,1,0.95,0.001,2,1,3,4
"Montinia caryophyllacea","Montiniaceae","Solanales","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"autonomous","short","unisexual","inferior",NA,"actinomorphic",NA,1.5,4,6,2,1,0.5,5.72,1,3,2,2
"Moringa oleifera","Moringaceae","Brassicales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior",NA,"zygomorphic","bright",12,5,NA,3,1,2,237.33,NA,NA,NA,NA
"Myriophyllum sibiricum","Haloragaceae","Saxifragales","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual_unisexual","inferior",NA,"actinomorphic","bright",6,8,1,4,NA,0.24,NA,2,1,NA,NA
"Myristica fragrans","Myristicaceae","Magnoliales","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","biotic","long","unisexual","superior","pollen","actinomorphic","bright",8,9.5,1,1,NA,1,7792.8,1,3,1,18
"Myrtus communis","Myrtaceae","Myrtales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",4,145,NA,NA,1,2.5,7.92,NA,5,NA,12
"Narthecium ossifragum","Nartheciaceae","Dioscoreales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic","bright",0.275,6,NA,NA,NA,2.8,0.1,3,1,3,4
"Nelumbo lutea","Nelumbonaceae","Proteales","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","other_pollen","actinomorphic","bright",2,400,1,24.75,0,10,NA,2,1,8,13
"Nelumbo nucifera","Nelumbonaceae","Proteales","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other_pollen","actinomorphic","bright",2,300,1,30,0,18.25,1132.7,2,1,8,13
"Nemesia strumosa","Scrophulariaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing",NA,"abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.3,4,NA,2.5,NA,2.5,0.24,3,NA,5,3
"Nepenthes macfarlanei","Nepenthaceae","Caryophyllales","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","abiotic","long","unisexual",NA,"nectar_none","actinomorphic",NA,3,5,NA,4,NA,1,NA,1,3,2,2
"Nicotiana tabacum","Solanaceae","Solanales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic","autonomous","short","bisexual","superior","nectar","actinomorphic_zygomorphic","bright",3,5,NA,2,1,4.25,0.07,NA,4,3,5
"Nolana humifusa","Solanaceae","Solanales","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,5,NA,16,1,2.6,NA,3,1,NA,NA
"Nothofagus dombeyi","Nothofagaceae","Fagales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,NA,40,10.5,1,1,NA,NA,11.9,NA,NA,2,6
"Nuphar advena","Nymphaeaceae","Nymphaeales","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","pollen","actinomorphic","bright",NA,180,NA,16,1,4,NA,3,1,NA,13
"Nymphaea odorata","Nymphaeaceae","Nymphaeales","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic_biotic","long","bisexual","intermediate","nectar","actinomorphic_other","bright",NA,77.3333333333333,112.5,20.3333333333333,1,12.5,5.86,2,1,NA,9
"Nymphoides peltata","Menyanthaceae","Asterales","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",1.075,5,NA,2,1,3.5,0.5,3,1,7,3
"Nyssa ogeche","Nyssaceae","Cornales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","inferior",NA,"actinomorphic","bright",20,7.5,NA,NA,NA,NA,337.77,1,3,NA,2
"Ochroma pyramidale","Malvaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic_other","bright_dull",30,17.5,NA,5,1,13.5,7.77,NA,2,6,1
"Octoknema borealis","Octoknemaceae","Santalales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic",NA,25,5,1,3,NA,2.4,342.13,1,3,2,2
"Octomeles sumatrana","Tetramelaceae","Cucurbitales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"abiotic","long","unisexual","inferior",NA,"actinomorphic",NA,50,6.5,NA,7,NA,0.5,0.15,1,3,2,2
"Olea europaea","Oleaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","bisexual_unisexual","superior","none","actinomorphic","bright_dull",15,2,2,2,NA,0.325,250.45,1,NA,2,6
