"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Monocarpwidth","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Monocarplength","Numberofstructuralcarpels","Fusionofovaries","Lengthofgynoecium","flowerSize","seedMass"
"Phelline comosa","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,"actinomorphic","bright",NA,NA,4,1,NA,NA,NA,4.5,1,NA,0.65,NA
"Phoenix dactylifera","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none","actinomorphic","bright_dull",30,NA,6,NA,NA,NA,NA,3,NA,NA,1.6,1076.15
"Phormium tenax","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","intermediate_superior","nectar","zygomorphic","bright",5,2.5,6,NA,NA,NA,7,3,NA,NA,3.75,7.63
"Phragmites australis","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","bisexual_unisexual","superior","none",NA,"dull",5.3,NA,2.5,1,NA,NA,NA,3,NA,NA,0.175,0.1
"Phryma leptostachya","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.7,NA,4,1,38,2535.5,NA,2,1,NA,NA,5.92
"Phyllanthus niruri","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing",NA,"abiotic","long","unisexual","superior",NA,"actinomorphic","bright",0.45,0.15,3,NA,NA,NA,NA,3,NA,NA,0.1,NA
"Physena madagascariensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","dull",7.5,2.5,10,1,NA,NA,3,2,1,NA,NA,NA
"Picramnia polyantha","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior","nectar","actinomorphic","bright",NA,NA,5.5,2,NA,NA,0.5,2,1,NA,NA,NA
"Pinguicula alpina","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual",NA,NA,NA,"bright",0.085,NA,NA,75,NA,800,NA,2,NA,NA,1.3,0.02
"Piper amalago","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1.36
"Piper arboreum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual",NA,"none","actinomorphic","bright",5,0.5,4,NA,NA,NA,8.55,NA,NA,NA,0.1,1.01
"Pitcairnia albiflos","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual","intermediate","nectar","actinomorphic","bright",0.7,NA,6,NA,NA,NA,NA,3,NA,NA,5,NA
"Pittosporum dasycaulon","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","zygomorphic","bright",8,12.5,5,5.5,45,2600,NA,NA,NA,NA,1.14,NA
"Plantago lanceolata","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","autonomous","short","bisexual_unisexual","superior","none_pollen","actinomorphic","bright_dull",0.13,NA,4,NA,17.5,25119,NA,2,1,NA,0.4,1.35
"Platea latifolia","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic","dull",15.5,1.75,5,1,NA,NA,3.5,2,1,NA,0.2,NA
"Plocosperma buxifolium","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"zygomorphic","bright",3.5,NA,5,1.5,NA,NA,7,2,1,NA,0.8,20.72
"Plumbago auriculata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",0.85,NA,5,1,68.5,1295,NA,1,NA,NA,3.3,14.75
"Podophyllum peltatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.45,NA,15,43.3,38,NA,NA,1,NA,NA,5,NA
"Poeppigia procera","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior","pollen","actinomorphic",NA,15,NA,10,8,NA,NA,NA,1,NA,NA,NA,NA
"Polycarpon tetraphyllum","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.225,NA,2.75,NA,17.5,NA,NA,NA,NA,NA,0.2,0.07
"Polygala lewtonii","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior","nectar","zygomorphic","bright",0.2,NA,8,1,NA,NA,NA,2,NA,NA,0.7,NA
"Pontederia crassipes","herbaceous","non-climbing","aquatic","monomorphic","long_short","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"zygomorphic","bright",0.4,0.55,6,999,NA,NA,1.25,3,1,NA,6,NA
"Populus alba","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual","superior","none","actinomorphic","dull",20,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,0.32
"Portulaca oleracea","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","intermediate",NA,"actinomorphic","bright",0.3,NA,9.5,60,57.5,NA,NA,4.5,1,NA,0.75,0.14
"Posidonia australis","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","superior","none",NA,"dull",0.3,NA,3,1,528,980000,NA,1,NA,NA,NA,NA
"Posoqueria latifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","zygomorphic","bright",14,5.5,5,NA,75.5,NA,5,2,1,NA,NA,26.63
"Potamogeton berchtoldii","herbaceous","non-climbing","aquatic","monomorphic","long_short",NA,"abiotic","abiotic","long","unisexual",NA,"none",NA,"dull",NA,0.165,4,1,NA,NA,0.24,4,0,NA,NA,1.11
"Primula sieboldii","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.185,NA,5,13,NA,NA,NA,5,1,NA,1.5,0.24
"Prionotes cerinthoides","herbaceous","climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",1,NA,5,NA,NA,NA,NA,5,1,NA,2.225,NA
"Prunus persica","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",7,NA,46,2,38,NA,6,1,NA,NA,1.3,2792.31
"Putranjiva roxburghii","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","bright_dull",12,NA,3.16666666666667,2,NA,NA,NA,3,1,NA,0.625,568.18
"Qualea grandiflora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior",NA,"zygomorphic","bright",12,NA,1,56,NA,NA,NA,3,1,NA,2,NA
"Quercus rubra","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none","actinomorphic","dull",30,NA,6,2,NA,NA,NA,3,NA,NA,NA,3143.26
"Quinchamalium chilense","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",0.2125,NA,5,1,22.275,NA,0.2,1,NA,0.9,1.2025,2.63
"Quintinia hyehenensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,NA,"bright",6.25,0.2,5,NA,NA,NA,0.2,4.5,NA,NA,0.5,NA
"Rafflesia keithii",NA,NA,NA,"dimorphic","long","outcrossing","biotic","biotic","long_short","unisexual","inferior",NA,"actinomorphic","bright_dull",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,80,NA
"Ranunculus acris","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.575,NA,60,1,17.5,NA,0.3,20,0,NA,2.15,1.72
"Ranunculus ficaria","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.215,0.26,25,1,38,6050,0.375,15,NA,NA,3.1875,NA
"Ravenala madagascariensis","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",13.5,NA,6,12.5,NA,NA,NA,3,1,NA,19,243.52
"Reseda lutea","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","biotic","long","bisexual","superior",NA,"zygomorphic","bright_dull",40,NA,20,NA,NA,NA,NA,3,NA,NA,0.6,0.76
"Rhexia virginica","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",0.75,NA,8,999,NA,668,0.6,4,NA,NA,3.5,0.02
"Rhizophora stylosa","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","inferior","none","actinomorphic","bright_dull",13.5,NA,8,2,NA,NA,4,2,1,NA,NA,32835
"Ribes aureum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",2,1,5,NA,38,NA,NA,2,NA,NA,1.6,1.67
"Roridula dentata","woody","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","superior","none","actinomorphic","bright_dull",2,NA,5,1,NA,NA,0.5,3,1,NA,2.5,NA
"Roridula gorgonias","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","intermediate","none","actinomorphic","bright_dull",1,NA,5,3,75.5,NA,0.5,3,1,NA,2.5,1.14
"Roupala montana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",6,1.15,4,2,NA,NA,2.75,1,NA,NA,0.775,47
"Rourea induta","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,NA,NA,4,NA,10,NA,NA,NA,NA,NA,NA,NA,1.1,NA
"Ruellia ciliatiflora","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual",NA,NA,"zygomorphic","bright",0.525,NA,4,NA,NA,NA,2.5,NA,NA,NA,5.5,1.99
"Ruta graveolens","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",1,NA,9,4,25.5,304,0.75,4,1,NA,NA,2.03
"Sagina procumbens","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","dull",0.2,NA,4,28,NA,NA,0.275,4,NA,NA,0.2,0.02
"Sagittaria latifolia","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",1,NA,30,NA,NA,NA,NA,6,NA,NA,4,0.56
"Salpiglossis sinuata","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","autonomous_biotic","autonomous","short","bisexual","superior",NA,"zygomorphic","bright",1,NA,4,NA,67.5,NA,0.7,2,1,0.335,5.5,0.1
"Santalum spicatum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar_other","actinomorphic","bright_dull",6,NA,4,1,NA,NA,NA,3,NA,NA,0.6,1556.12
"Sarracenia purpurea","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright_dull",0.25,1.5,65,282,NA,NA,NA,5,1,NA,6,1.76
"Saxifraga cernua","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual_unisexual","intermediate","nectar","actinomorphic","bright",0.155,NA,10,232,NA,218,NA,2,0.7,NA,15,NA
"Scaevola montana","woody","non-climbing","non-aquatic","monomorphic",NA,"outcrossing","biotic","biotic","long","bisexual",NA,"nectar",NA,"bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schinus molle","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic_biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",8.5,0.55,10,1,30.75,NA,0.55,3,1,NA,NA,30.75
"Schisandra chinensis","herbaceous","climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"unisexual","superior",NA,"actinomorphic","bright",9,30.5,5.5,2.5,38,NA,0.625,27,0,NA,NA,6.88
"Schizanthus grahamii","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.5,NA,2,NA,NA,NA,1,2,1,NA,2.9,1.23
"Scleranthus annuus","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous_biotic","autonomous","short","bisexual","superior","nectar_none","actinomorphic","bright_dull",0.135,0.1,3.5,1,NA,300,0.41,2,1,NA,0.15,1.21
"Senecio vulgaris","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",NA,NA,5,0.5,NA,NA,NA,2,NA,NA,0.55,0.21
"Sesamum indicum","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",1.2,0.225,4,32.5,75.5,NA,0.65,2,1,NA,2.4,2.21
"Sextonia rubra","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous_biotic","long_short","bisexual","superior","other","actinomorphic","bright",40,NA,9,1,NA,NA,NA,1,NA,NA,NA,NA
"Silene vulgaris","herbaceous","non-climbing","non-aquatic","dimorphic","long","mixed","biotic","abiotic","long","bisexual_unisexual","superior","nectar_other","actinomorphic_zygomorphic","bright",0.6,NA,10,NA,38,218,1.3,NA,1,NA,2.1,1.22
"Simmondsia chinensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","actinomorphic","bright_dull",2.5,NA,10,NA,NA,NA,NA,3,1,NA,0.4,546.9
"Sinia rhodoleuca","woody","non-climbing","non-aquatic","monomorphic","long",NA,NA,"abiotic","long","bisexual","superior",NA,NA,"bright",1.15,NA,5,NA,NA,NA,NA,3,NA,NA,0.525,NA
"Sinojackia xylocarpa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","intermediate",NA,"actinomorphic","bright",6,NA,13,7,NA,NA,2,3,1,NA,1.75,NA
"Solanum dulcamara","herbaceous","climbing_non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior","pollen","actinomorphic","bright",1.15,0.875,5,15,17.5,NA,1.25,2,1,NA,1.25,26.44
"Souroubea guianensis","woody","climbing","non-aquatic","monomorphic",NA,"outcrossing","biotic","biotic","long","bisexual",NA,"nectar_other",NA,"bright",NA,1.75,5,NA,NA,NA,NA,NA,NA,NA,1.4,NA
"Spergularia marina","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous","abiotic","long","bisexual","superior","nectar","actinomorphic","bright_dull",0.2,0.46,4.33333333333333,114,NA,34,0.46,NA,NA,NA,0.65,0.05
"Spigelia marilandica","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright_dull",0.45,NA,5,NA,NA,NA,NA,2,1,NA,3.75,NA
"Spiranthes cernua","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","abiotic","long","bisexual","inferior",NA,"zygomorphic","bright_dull",0.3,NA,1,2566.5,38,NA,NA,3,1,NA,1.5,0.004
"Spondias tuberosa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",6,4,10,1,NA,NA,NA,4.5,NA,NA,NA,1400
"Staphylea trifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright_dull",3.1225,NA,5,9,NA,NA,NA,2.5,1,NA,0.83,50.64
"Stellaria media","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","autonomous_biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright_dull",0.2,0.4,5.5,NA,38,50,0.4,NA,NA,NA,0.525,0.38
"Sterculia apetala","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",35,4,15,11,NA,NA,6,5,0.2,NA,2,1898.5
"Stylidium graminifolium","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",2.025,0.85,2,90,NA,NA,0.85,2,1,NA,1,0.18
"Swietenia macrophylla","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",30,9,10,14,NA,NA,15,5,1,NA,1,555.13
"Symplocos rhamnifolia","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,NA,NA,"bisexual",NA,NA,"actinomorphic",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0.5,NA
"Syringa vulgaris","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",6,0.5,2,2,38,NA,1.25,2,1,NA,1,5.57
"Tacca chantrieri","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright_dull",0.75,NA,6,285,NA,49.5,NA,3,NA,NA,1.75,5.69
"Tacca leontopetaloides","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","inferior",NA,"actinomorphic","bright_dull",1,NA,6,23,NA,137,NA,3,NA,NA,NA,22.93
"Talinum paniculatum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",0.65,0.4,15.75,19,38,136,0.4,3,NA,NA,0.84,0.58
"Tectona grandis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",40,1.5,6,NA,NA,3207.5,1.5,NA,NA,NA,0.55,696.37
"Ternstroemia crassifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual_unisexual",NA,"nectar_pollen","actinomorphic","bright",NA,NA,40,NA,NA,NA,NA,2,NA,NA,1.25,NA
"Tetracentron sinense","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic_biotic","abiotic","long","bisexual","intermediate","nectar_none_pollen","actinomorphic","bright_dull",40,0.325,4,6,NA,720,0.375,4,0.8,NA,0.15,0.15
"Tetratheca aphylla","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous_biotic","short","bisexual","superior","pollen",NA,"bright",1.9,NA,10,1,NA,NA,0.34,3,NA,NA,0.9,NA
"Tetroncium magellanicum","herbaceous","non-climbing","aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","other","bright",0.2,1,4,1,NA,NA,0.7,4,0.3,NA,0.9,NA
"Thalictrum minus","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic_biotic","autonomous","short","bisexual","superior","none_pollen","actinomorphic","bright_dull",0.825,0.325,12.5,1,38,82439.1,0.325,7.75,0,NA,0.7,2.08
"Theobroma cacao","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",18,NA,5,NA,17.5,NA,17,5,1,NA,1,1892.8
"Thymelaea hirsuta","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual","superior","none","actinomorphic","dull",1.6,NA,8,1,28,NA,NA,1,NA,NA,2.88666666666667,3.07
"Titanotrichum oldhamii","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.35,NA,4,NA,NA,NA,NA,NA,NA,NA,3.5,NA
"Trachelium caeruleum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","inferior","nectar_pollen","actinomorphic","bright",1,NA,5,NA,23,NA,NA,NA,NA,NA,0.5,0.01
"Tragopogon dubius","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic_biotic","long","bisexual","inferior",NA,"zygomorphic","bright",0.7,0.155,5,1,38,NA,2.6,2,1,NA,NA,9.17
"Tribulus terrestris","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.35,1,10,20,45.5,398,0.5,5,1,NA,0.9,16.53
"Trichilia emetica","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic",NA,30,NA,10,2,NA,NA,3,3,1,NA,1.6,701.96
"Trillium erectum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior",NA,"actinomorphic","bright_dull",0.3,1.25,6,NA,NA,537,1.3,3,NA,NA,6.5,NA
"Trithuria submersa","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","autonomous","short","unisexual","superior","none","actinomorphic","bright",0.075,NA,1,1,NA,24,NA,1,NA,NA,1,NA
"Trochocarpa laurina","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"actinomorphic","bright",13,0.7,10,1,NA,NA,NA,10,1,NA,0.25,24.63
"Tropaeolum majus","herbaceous","climbing_non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic","abiotic","long","bisexual","superior","nectar_pollen","zygomorphic","bright",2,1.75,8,NA,17.5,63480.5,1.75,NA,NA,NA,4.45,146.7
"Tropaeolum tricolor","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",2,NA,8,1,NA,NA,NA,3,1,NA,3,23.5
"Turnera ulmifolia","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior",NA,"actinomorphic","bright",0.875,NA,5,504.5,75.5,NA,NA,3,1,NA,5,1.12
"Typha latifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","unisexual","superior","none",NA,"dull",2.25,NA,2,1,38,NA,1.25,1,NA,NA,0.55,0.13
"Urtica dioica","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","actinomorphic_other","dull",1.75,0.08,4,1,17.5,NA,0.12,1,NA,NA,0.14,0.16
"Vaccinium uliginosum","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",0.6,0.7,9,NA,48.25,316,0.7,3.5,1,NA,0.6,0.28
"Valeriana officinalis","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior","nectar_pollen","other","bright",0.75,0.45,3,1,38,NA,0.45,3,NA,NA,0.5,1.24
"Vellozia squamata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",NA,NA,6,999,NA,NA,5,NA,NA,NA,15,NA
"Verbascum thapsus","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","biotic","long","bisexual","superior","nectar_pollen","zygomorphic","bright",2,NA,5,NA,NA,NA,0.85,2,1,NA,1.5,0.1
"Veronica anagallis-aquatica","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic_biotic","abiotic","long","bisexual","superior","none","zygomorphic","bright",0.55,NA,2,NA,38,43,0.3,2,NA,0.205,0.625,0.06
"Viburnum rufidulum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","pollen","actinomorphic","bright",6,NA,5,NA,NA,NA,NA,NA,NA,NA,0.63,81.11
"Viola pubescens","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","autonomous_biotic","short","bisexual","superior",NA,"zygomorphic","bright",0.275,1,5,9,NA,NA,1.6,3,1,NA,2.6,1.98
"Vitex negundo","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",1.5,NA,4,2,NA,1015,NA,2,NA,NA,0.55,22.2
"Vitis labrusca","woody","climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","dull",16,1.2,5,NA,NA,NA,NA,NA,NA,NA,0.2,54.65
"Viviania marifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior","nectar","actinomorphic","bright",4,NA,10,2,30,NA,NA,3,1,NA,0.7,1.56
"Vriesea carinata","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior",NA,"actinomorphic_zygomorphic","bright",0.3,NA,6,NA,NA,NA,NA,3,NA,NA,4,0.24
"Warburgia ugandensis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",23.5,5,10,5.5,NA,NA,NA,5,1,NA,2,5780
"Wurmbea biglandulosa","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","autonomous","short","bisexual_unisexual","superior","nectar","actinomorphic","bright",0.1675,NA,6,21.5,NA,NA,NA,3,NA,NA,1.6375,0.87
"Xanthosoma sagittifolium","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","long_short","unisexual","superior","other",NA,"bright",2,NA,5,35,NA,390.5,NA,4.25,1,NA,NA,NA
"Ximenia americana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",5,NA,7.33333333333333,1,NA,NA,NA,4,NA,NA,1.2,866.86
"Zea mays","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","abiotic","biotic","long","unisexual","superior","none",NA,"dull",3.25,0.45,3,1,75.5,14818,0.725,1,NA,NA,0.745,305.7
"Zelkova serrata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","bisexual_unisexual","superior","none",NA,"dull",30,NA,7,1,NA,NA,0.3,2,NA,NA,0.9,19.1
"Zostera marina","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","abiotic","long","unisexual",NA,"none",NA,"dull",0.7,NA,1,1,NA,NA,0.3375,2,NA,0.45,0.6,3.55
