"","NTaxDat","new_state.x","Climbing","SexualSystem","Lifespan","Mating","Pollination","Dispersal","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"123","Dryas octopetala","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"124","Durio zibethinus","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
"125","Eichhornia crassipes","herbaceous","non-climbing","monomorphic","long_short","outcrossing","biotic","abiotic_biotic","bisexual","superior",NA,"zygomorphic","bright"
"126","Eriocaulon parkeri","herbaceous","non-climbing","monomorphic","long_short",NA,"biotic",NA,"unisexual","superior",NA,NA,"bright"
"127","Eriogonum arborescens","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual",NA,NA,NA,"bright"
"128","Eryngium alpinum","herbaceous","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior",NA,"actinomorphic","bright"
"129","Erythroxylum laurifolium","woody","non-climbing","monomorphic","long","outcrossing",NA,"biotic","bisexual","superior","nectar_other",NA,"bright"
"130","Eschscholzia californica","herbaceous","non-climbing","monomorphic","long_short","outcrossing","biotic","autonomous","bisexual","superior","pollen","other","bright"
"131","Eucalyptus cladocalyx","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","inferior",NA,NA,"bright"
"132","Eupomatia bennettii","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","inferior",NA,NA,"bright"
"133","Eupomatia laurina","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual",NA,"other",NA,"bright"
"134","Fagus grandifolia","woody","non-climbing","monomorphic","long",NA,"abiotic","biotic","unisexual","inferior","none_pollen","actinomorphic","dull"
"135","Ficaria verna","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"136","Filipendula vulgaris","herbaceous","non-climbing","monomorphic","long",NA,"abiotic_biotic","biotic","bisexual","superior","none_pollen","actinomorphic","bright"
"137","Floerkea proserpinacoides","herbaceous","non-climbing","monomorphic","short","selfing","autonomous","autonomous","bisexual","superior",NA,"actinomorphic","bright_dull"
"138","Fumana ericoides","woody","non-climbing","monomorphic","long","selfing","biotic","autonomous","bisexual","inferior",NA,"actinomorphic","bright"
"139","Galium aparine","herbaceous","non-climbing","monomorphic","short","selfing","biotic","biotic","bisexual","inferior",NA,"actinomorphic","bright"
"140","Gelsemium sempervirens","herbaceous","climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","other","actinomorphic","bright"
"141","Gentiana saponaria","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"142","Geranium sanguineum","herbaceous","non-climbing","monomorphic","long","mixed","biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright"
"143","Gerbera jamesonii","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","inferior",NA,"zygomorphic","bright"
"144","Gesneria cuneifolia","woody","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual",NA,"nectar","zygomorphic","bright"
"145","Gomortega keule","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior",NA,"actinomorphic","bright_dull"
"146","Gonocaryum litorale","woody","non-climbing","dimorphic","long","outcrossing",NA,"biotic","unisexual","superior",NA,"actinomorphic","bright_dull"
"147","Gossypium hirsutum","woody","non-climbing","monomorphic","long_short","selfing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"148","Grewia occidentalis","woody","non-climbing","monomorphic",NA,"outcrossing","biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
"149","Griselinia racemosa","woody","non-climbing","dimorphic",NA,"outcrossing",NA,"biotic","unisexual","inferior",NA,"actinomorphic",NA
"150","Gyrocarpus americanus","woody","non-climbing","monomorphic","long",NA,"abiotic","abiotic","bisexual_unisexual","inferior","none","actinomorphic","bright_dull"
"151","Hamamelis virginiana","woody","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","intermediate","nectar_pollen","actinomorphic","bright"
"152","Hanguana malayana","herbaceous","non-climbing","dimorphic","long","outcrossing",NA,"biotic","unisexual","superior",NA,"actinomorphic",NA
