"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","Dispersal_mode","Dispersal_dist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Flowerlength","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Numberofstructuralcarpels","Fusionofovaries","Fruitlength","Fruitwidth","Lengthofgynoecium","flowerSize","seed_mass"
"Octoknema borealis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic",NA,NA,NA,5,1,NA,NA,3,NA,1.55,1.5,NA,2.4,342.13
"Octomeles sumatrana","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"abiotic","long","unisexual","inferior",NA,"actinomorphic",NA,0.5,NA,6.5,NA,NA,NA,7,NA,NA,NA,NA,0.5,0.15
"Olea europaea","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","bisexual_unisexual","superior","none","actinomorphic","bright_dull",0.325,15,2,2,17.5,24000,2,NA,1.6,1.3,NA,0.325,250.45
"Oryza sativa","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","autonomous","short","bisexual","superior","none","zygomorphic","dull",0.9,1,6,1,38,NA,1,NA,NA,NA,NA,0.9,25.68
"Ottelia acuminata","herbaceous","non-climbing","aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,NA,"bright",NA,NA,10.5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Oxalis corniculata","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,NA,10,7,NA,105.37,5,1,NA,NA,NA,1.2,0.2
"Paeonia californica","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",NA,0.55,86,17,NA,61434,8,0,NA,NA,NA,4,267.9
"Panax quinquefolius","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual_unisexual","inferior",NA,"actinomorphic","dull",NA,0.35,5,1.5,NA,NA,2,1,NA,NA,NA,0.3,27.75
"Pandanus tectorius","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","abiotic_biotic","long","unisexual","superior","none",NA,"bright_dull",NA,5,15,1,NA,NA,11.75,NA,NA,NA,NA,NA,NA
"Pennantia corymbosa","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",NA,NA,5,0.666666666666667,NA,NA,3,1,0.9,0.5,NA,NA,16.95
"Peritoma arborea","woody","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",NA,NA,6,9.5,NA,NA,1,NA,NA,NA,NA,1.52,NA
"Perrottetia ovata","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,NA,NA,NA,NA,5,4,NA,NA,2,1,NA,NA,NA,NA,NA
