"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"91","Cobaea scandens",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"92","Cochlospermum vitifolium",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"93","Coffea arabica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
"94","Combretum leprosum",0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"95","Commelina communis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0
"96","Cordyline australis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"97","Coriaria myrtifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
"98","Coriaria ruscifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"99","Cornus florida",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"100","Corokia cotoneaster",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"101","Corrigiola litoralis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,1,0,1,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"102","Costus woodsonii",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"103","Cucurbita pepo",1,0,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
"104","Cupaniopsis anacardioides",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1
"105","Curculigo latifolia",1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"106","Cuscuta cuspidata",1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"107","Cuttsia viburnea",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"108","Cyclanthus bipartitus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,NA,NA,NA,0,0,0,1,NA,NA,NA,1,0
"109","Cymodocea nodosa",1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"110","Cypripedium calceolus",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1
"111","Cyrilla racemiflora",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"112","Dalechampia spathulata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,0,1,NA,NA,NA,0,0,1,0,0,0,1,1,0
"113","Dalzellia ceylanica",1,0,0,1,1,1,0,1,NA,NA,0,0,1,0,1,0,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,0,1,1
"114","Daphniphyllum macropodum",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"115","Datisca glomerata",1,0,0,1,0,1,1,0,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,NA,NA,NA,0,1
"116","Davidsonia jerseyana",0,1,0,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"117","Davilla kunthii",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
"118","Denhamia celastroides",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"119","Diapensia lapponica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"120","Diospyros australis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"121","Dipterocarpus tempehes",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"122","Discaria americana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0
"123","Drosophyllum lusitanicum",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"124","Dryas octopetala",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"125","Durio zibethinus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"126","Eichhornia crassipes",1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"127","Eriocaulon parkeri",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"128","Eriogonum arborescens",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"129","Eryngium alpinum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"130","Erythroxylum laurifolium",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,1,0,0,0,1,1,0,1,0,NA,NA,NA,1,0
"131","Eschscholzia californica",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
"132","Eucalyptus cladocalyx",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0
"133","Eupomatia bennettii",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0
"134","Eupomatia laurina",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,0,0,1,0,NA,NA,NA,1,0
"135","Fagus grandifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
"136","Ficaria verna",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"137","Filipendula vulgaris",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
"138","Floerkea proserpinacoides",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"139","Fumana ericoides",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"140","Galium aparine",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"141","Gelsemium sempervirens",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
"142","Gentiana saponaria",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
