Genus,Species,Seed_weight,References
Nelumbo,nucifera,1132.7,"https://www.scielo.br/j/abb/a/48rSrvgDhHrvX7Yt8XLMRnN/?lang=en#:~:text=nucifera%20at%20the%20time%20of,was%20113.27%20±%200.9%20g."
Nemesia,strumosa,0.24,Seed_Information_Database(https://ser-sid.org)
Nepenthes,macfarlanei,,
Nicotiana,tabacum,0.07,Seed_Information_Database(https://ser-sid.org)
Nolana,humifusa,,
Nothapodytes,nimmoniana,,
Nothofagus,dombeyi,11.9,Seed_Information_Database(https://ser-sid.org)
Nuphar,advena,,
Nymphaea,odorata,5.86,Seed_Information_Database(https://ser-sid.org)
Nymphoides,peltata,0.5,Seed_Information_Database(https://ser-sid.org)
Nyssa,ogeche,337.77,Seed_Information_Database(https://ser-sid.org)
Ochroma,pyramidale,7.77,Seed_Information_Database(https://ser-sid.org)
Octoknema,borealis,342.13,Seed_Information_Database(https://ser-sid.org)
Octomeles,sumatrana,0.15,Seed_Information_Database(https://ser-sid.org)
Olea,europaea,250.45,Seed_Information_Database(https://ser-sid.org)
Oryza,sativa,25.68,Seed_Information_Database(https://ser-sid.org)
Ottelia,acuminata,,
Oxalis,corniculata,0.2,Seed_Information_Database(https://ser-sid.org)
Paeonia,californica,267.9,Seed_Information_Database(https://ser-sid.org)
Panax,quinquefolius,27.75,Seed_Information_Database(https://ser-sid.org)
Pandanus,tectorius,,
Pennantia,corymbosa,16.95,Seed_Information_Database(https://ser-sid.org)
Peritoma,arborea,,
Perrottetia,ovata,,
Petrosavia,sakuraii,,
Petunia,axillaris,,
Peumus,boldus,1000,https://www.rarepalmseeds.com/peumus-boldus
Phelline,comosa,,
Phoenix,dactylifera,1076.15,Seed_Information_Database(https://ser-sid.org)
Phormium,tenax,7.63,Seed_Information_Database(https://ser-sid.org)
Phragmites,australis,0.1,Seed_Information_Database(https://ser-sid.org)
Phryma,leptostachya,5.92,Seed_Information_Database(https://ser-sid.org)
Phyllanthus,niruri,,
Physena,madagascariensis,,
Picramnia,polyantha,,
Pinguicula,alpina,0.02,Seed_Information_Database(https://ser-sid.org)
Piper,amalago,1.36,Seed_Information_Database(https://ser-sid.org)
Piper,arboreum,1.01,Seed_Information_Database(https://ser-sid.org)
Pitcairnia,albifilos,,
Pittosporum,dasycaulon,,
Plantago,lanceolata,1.35,Seed_Information_Database(https://ser-sid.org)
Platea,latifolia,,
Plocosperma,buxifolium,20.72,Seed_Information_Database(https://ser-sid.org)
Plumbago,auriculata,14.75,Seed_Information_Database(https://ser-sid.org)
Podophyllum,peltatum,,
Poeppigia,procera,,
Polycarpon,tetraphyllum,0.07,Seed_Information_Database(https://ser-sid.org)
Polygala,lewtonii,,
Populus,alba,0.32,Seed_Information_Database(https://ser-sid.org)
Portulaca,oleracea,0.14,Seed_Information_Database(https://ser-sid.org)
Posidonia,australis,,
Posoqueria,latifolia,26.63,Seed_Information_Database(https://ser-sid.org)
Potamogeton,berchtoldii,1.11,Seed_Information_Database(https://ser-sid.org)
Primula,sieboldii,0.24,https://www.jelitto.com/Seed/PRIMULA+sieboldii+Seeds.html
Prionotes,cerinthoides,,
Prunus,persica,2792.31,Seed_Information_Database(https://ser-sid.org)
Putranjiva,roxburghii,568.18,Seed_Information_Database(https://ser-sid.org)
Qualea,grandiflora,,
Quercus,rubra,3143.26,Seed_Information_Database(https://ser-sid.org)
Quinchamalium,chilense,2.63,Seed_Information_Database(https://ser-sid.org)
Quintinia,hyehenensis,,
Rafflesia,keithii,,
Ranunculus,acris,1.72,Seed_Information_Database(https://ser-sid.org)
Ravenala,madagascariensis,243.52,Seed_Information_Database(https://ser-sid.org)
Reseda,lutea,0.76,Seed_Information_Database(https://ser-sid.org)
Rhexia,virginica,0.02,Seed_Information_Database(https://ser-sid.org)
Rhizophora,stylosa,32835,Seed_Information_Database(https://ser-sid.org)
Ribes,aureum,1.67,Seed_Information_Database(https://ser-sid.org)
Roridula,dentata,,
Roridula,gorgonias,1.14,Seed_Information_Database(https://ser-sid.org)
Roupala,montana,47,Seed_Information_Database(https://ser-sid.org)
Rourea,induta,,
Ruellia,nudiflora,1.99,Seed_Information_Database(https://ser-sid.org)
Ruta,graveolens,2.03,Seed_Information_Database(https://ser-sid.org)
Sagina,procumbens,0.02,Seed_Information_Database(https://ser-sid.org)
Sagittaria,latifolia,0.56,Seed_Information_Database(https://ser-sid.org)
Salpiglossis,sinuata,0.1,Seed_Information_Database(https://ser-sid.org)
Santalum,spicatum,1556.12,Seed_Information_Database(https://ser-sid.org)
Sarracenia,purpurea,1.76,Seed_Information_Database(https://ser-sid.org)
Sauvagesia,rhodoleuca,,
Saxifraga,cernua,,
Scaevola,montana,,
Schinus,molle,30.75,Seed_Information_Database(https://ser-sid.org)
Schisandra,chinensis,6.88,Seed_Information_Database(https://ser-sid.org)
Schizanthus,grahamii,1.23,Seed_Information_Database(https://ser-sid.org)
Scleranthus,annuus,1.21,Seed_Information_Database(https://ser-sid.org)
Senecio,vulgaris,0.21,Seed_Information_Database(https://ser-sid.org)
Sesamum,indicum,2.21,Seed_Information_Database(https://ser-sid.org)
Sextonia,rubra,,
Silene,vulgaris,1.22,Seed_Information_Database(https://ser-sid.org)
Simmondsia,chinensis,546.9,Seed_Information_Database(https://ser-sid.org)
Sinojackia,xylocarpa,,
Solanum,dulcamara,26.44,Seed_Information_Database(https://ser-sid.org)
Souroubea,guianensis,,
Spergularia,marina,0.05,Seed_Information_Database(https://ser-sid.org)
Spigelia,marilandica,,
Spiranthes,cernua,0.004,Seed_Information_Database(https://ser-sid.org)
Spondias,tuberosa,1400,"Borges SV, Maia MCA, Gomes R de CM, Cavalcanti NB. 2007. Chemical composition of umbu (Spondias tuberosa Arr. Cam) seeds. Química Nova 30: 49–52."
Staphylea,trifolia,50.64,Seed_Information_Database(https://ser-sid.org)
Stellaria,media,0.38,Seed_Information_Database(https://ser-sid.org)
Sterculia,apetala,1898.5,Seed_Information_Database(https://ser-sid.org)
Stylidium,graminifolium,0.18,Seed_Information_Database(https://ser-sid.org)
Swietenia,macrophylla,555.13,Seed_Information_Database(https://ser-sid.org)
Syringa,vulgaris,5.57,Seed_Information_Database(https://ser-sid.org)
Tacca,chantrieri,5.69,Seed_Information_Database(https://ser-sid.org)
Tacca,leontopetaloides,22.93,Seed_Information_Database(https://ser-sid.org)
Talinum,paniculatum,0.58,Seed_Information_Database(https://ser-sid.org)
Tectona,grandis,696.37,Seed_Information_Database(https://ser-sid.org)
Ternstroemia,crassifolia,,
Tetracentron,sinense,0.15,"Gao J, Wang N, Tian K. 2021. Tetracentron sinense (Trochodendraceae). Trends in Genetics 37: 401–402."
Tetratheca,aphylla,,
Tetroncium,magellanicum,,
Thalictrum,minus,2.08,Seed_Information_Database(https://ser-sid.org)
Theobroma,cacao,1892.8,Seed_Information_Database(https://ser-sid.org)
Thymelaea,hirsuta,3.07,Seed_Information_Database(https://ser-sid.org)
Titanotrichum,oldhamii,,
Trachelium,caeruleum,0.01,Seed_Information_Database(https://ser-sid.org)
Tragopogon,dubius,9.17,Seed_Information_Database(https://ser-sid.org)
Tribulus,terrestris,16.53,Seed_Information_Database(https://ser-sid.org)
Trichilia,emetica,701.96,Seed_Information_Database(https://ser-sid.org)
Trillium,erectum,,
Trithuria,submersa,,
Trochocarpa,laurina,24.63,"https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Trochocarpa~laurina#:~:text=Flowers%20White%2C%20December%2DJanuary.,Howell%20pers."
Tropaeolum,majus,146.7,Seed_Information_Database(https://ser-sid.org)
Tropaeolum,tricolor,23.5,Seed_Information_Database(https://ser-sid.org)
Turnera,ulmifolia,1.12,Seed_Information_Database(https://ser-sid.org)
Typha,latifolia,0.13,Seed_Information_Database(https://ser-sid.org)
Urtica,dioica,0.16,Seed_Information_Database(https://ser-sid.org)
Vaccinium,uliginosum,0.28,Seed_Information_Database(https://ser-sid.org)
Valeriana,officinalis,1.24,Seed_Information_Database(https://ser-sid.org)
Vellozia,squamata,,
Verbascum,thapsus,0.1,Seed_Information_Database(https://ser-sid.org)
Veronica,anagallisaquatica,0.06,Seed_Information_Database(https://ser-sid.org)
